price,Opinion,battery_power,bc,clock_speed,dual_sim,fc,five_g,int_memory,m_dep,mobile_wt,n_cores,pc,_height,_width,ram,sc_h,sc_w,talk_time
114500,8,4441,48,3.78,0,12,1,256,0.83,221,6,12,2796,1290,8192,15.99,7.67,25
111500,8,4815,48,3.19,1,13,1,256,0.83,200,8,12,2700,1220,8192,16.1,7.45,24
59499,6,5000,50,3.35,1,20,1,256,0.85,206,8,12,2712,1220,12288,16.22,7.57,28
81498,8,5050,50,3,1,10.5,1,128,0.88,213,9,12,2992,1344,12288,16.26,7.65,25
62000,6,5400,50,3.3,1,32,1,256,0.92,220,8,12,3168,1440,12288,16.33,7.58,26
42330,4,5000,50,1.8,1,8,1,128,0.75,182,8,12,2400,1080,6144,16.73,7.67,36
30498,5,3350,16,2.2,1,16,1,64,0.93,210,8,12,2340,1080,6144,15.51,7.3,16
24990,4,5000,50,2.2,1,8,1,128,0.8,188,8,12,1612,720,4096,16.38,7.51,38
46920,3,4600,50,3.1,1,50,1,256,0.75,188,8,12,2800,1260,8192,16.42,7.44,24
121380,10,4441,72,3.36,1,12,1,256,0.83,221,6,12,2796,1290,8192,16.9,7.7,16
87822,10,5000,232,3.36,1,12,1,256,0.89,234,8,12,3088,1440,8192,16.34,7.81,13
101898,8,5050,146,3,1,10.5,1,256,0.88,213,9,12,2992,1344,8192,16.2,7.6,11.1
91800,9,4815,109,3.19,0,13,0,256,0.83,200,8,12,2700,1220,8192,16.9,7.5,11.1
95880,10,3800,25,3.19,1,32,1,256,0.7,188.5,8,12,2640,1080,8192,17.5,7.5,11
122400,8,4805,176,3.2,1,20,1,512,1.17,245,8,12,2268,2440,16384,15.34,7.3,12
71400,7,5000,64,2.84,1,10,1,256,0.89,213,8,12,2460,1080,8192,17.5,7.81,16
17850,0,5000,54,2.2,1,8,1,256,0.86,193.8,8,12,1610,720,6144,16.5,7.6,16
40800,4,5000,60,3.2,1,12,1,256,0.86,182,8,12,2520,1080,8192,15.5,7.4,16
65280,7,5000,112,3.35,1,20,1,512,0.85,206,8,12,2712,1220,12288,16.9,7.5,11.5
159990,10,4441,48,3.78,1,12,1,512,0.83,221,6,12,2796,1290,8192,15.9,7.6,25
65990,8,4500,50,2.99,1,10,1,128,0.76,195,8,12,2340,1080,8192,15.7,7.5,29
94990,9,5000,200,3.36,1,12,1,256,0.89,234,8,12,3088,1440,12288,16.3,7.8,39
104990,9,3200,48,3.46,1,12,1,128,0.79,206,6,12,2556,1179,6144,14.7,7.1,19
129000,10,5000,48,2.62,1,13,1,512,0.81,225,8,12,2720,1260,16384,16.3,7.9,24
26990,3,2658,12,2.5,0,7,0,64,0.77,177,4,12,2436,1125,4096,14.3,7,14
33900,4,1821,12,2.65,0,7,0,128,0.73,148,4,12,1334,750,3072,13.8,6.7,10
39990,6,4800,12,2.9,1,10,1,256,0.78,200,8,12,2400,1080,8192,16.1,7.5,31
114990,8,3274,48,3.78,1,12,1,128,0.83,187,6,12,2556,1179,8192,14.6,7,18
29990,5,4300,12,2.73,0,10,0,512,0.79,196,8,12,3040,1440,12288,16.2,7.7,32
25990,7,5000,48,2.2,1,13,1,256,0.8,189,8,12,2400,1080,8192,16.59,7.62,20
54990,4,3110,12,2.6,0,12,0,64,0.83,194,6,12,1792,828,4096,15.09,7.57,26
74990,8,4575,50,3,0,10.5,1,128,0.89,187,9,12,2400,1080,8192,15.05,7.08,24
37990,7,4115,48,2.4,1,32,1,128,0.82,184,8,12,2400,1080,8192,15.83,7.33,24
105000,10,5000,200,3.36,1,12,1,512,0.89,234,8,12,3088,1440,12288,16.34,7.81,25
34000,8,5000,50,2.4,1,32,1,128,0.82,202,8,12,2340,1080,8192,15.82,7.67,22
13500,3,5380,13,2,1,5,0,32,0.96,205,4,12,1600,720,2048,16.52,7.7,29
29000,3,5000,50,2.4,1,16,0,256,0.83,188,8,12,2408,1080,8192,16.43,7.61,13
70000,6,4500,50,3,1,32,1,256,0.82,179,8,12,2400,1080,12288,15.27,6.99,28
15500,2,5000,48,2,1,13,1,128,0.8,188,8,12,2400,1080,8192,16.59,7.62,20
22000,5,5000,46,2,1,20,0,128,0.84,184,8,12,2400,1080,6144,15.89,7.36,36
9900,3,5000,50,2.3,1,5,0,64,0.91,192,8,12,1600,720,4096,16.44,7.63,22
32000,8,5000,50,2.4,1,8,0,128,0.84,195,8,12,2408,1080,4096,16.54,7.69,22
78000,7,4500,12,2.84,1,32,1,256,0.79,177,8,12,2340,1080,6144,15.7,7.45,20
95000,8,3200,48,3.46,1,12,1,128,0.79,206,6,12,2556,1179,6144,14.75,7.15,21
40000,6,4385,64,2.85,0,13,1,128,0.9,195,8,12,2400,1080,8192,15.2,7.29,22
140000,10,4441,48,3.78,1,12,1,256,0.83,221,6,12,2796,1290,8192,15.99,7.67,30
80000,6,2815,12,3.1,0,12,1,64,0.74,164,10,12,2532,1170,4096,14.64,0,26
28000,6,5000,48,2.6,0,13,1,128,0.82,199,8,12,2340,1080,8192,16.13,7.81,28
64000,7,5000,50,2.2,0,8,1,128,1.19,268,8,12,2480,1080,6144,17.1,8,30
129990,9,4500,120,2.6,1,70,1,256,0.84,220,8,12,2960,1440,8192,15.24,6,51
70000,6,5000,48,1.21,1,48,1,64,0.7,260,8,12,1280,1440,4000,12.7,1.4478,56
135990,9,4422,60,3.46,1,12,1,512,0.76,240,8,12,2796,1290,6000,11.98,1.54,23
10500,3,4800,50,3.2,1,13,1,100,0.7,207,8,12,2400,1080,12000,8.89,1.524,10
71000,5,5000,60,2.2,1,13,1,128,0.71,195,8,12,1920,1080,12000,16,6.9,4
70000,5,5000,50,1.2,1,25,1,128,0.75,194,8,12,1600,1440,8000,12,7.53,12
5990,0,3000,48,2.8,1,5,1,128,0.88,157,8,12,1920,1080,8000,11,6.2,26
85900,7,5000,64,3.13,1,32,1,256,0.75,190,8,12,2340,1080,6000,12,7.08,8
75000,8,5000,98,2.84,1,16,1,128,0.79,170,8,12,2400,1440,8000,16.63,7.59,6
135588,6,5000,64,2.3,1,32,1,128,0.89,169,8,12,2400,1080,6000,16,7.24,7
85000,8,3430,64,2.35,1,11.1,1,128,0.81,143,8,12,1920,1080,8000,14,7.48,10
159990,10,4441,48,3.75,1,12,1,512,1.38,221,8,12,2796,1290,8000,14.66,7.36,12
142800,9,4441,48,3.78,0,12,1,512,0.83,221,6,12,2796,1290,8192,15.99,7.67,25
81498,8,2800,16,2.84,0,8,0,128,0.8,162,8,12,2280,1080,6144,15.44,7.28,23
20298,5,5000,48,2.2,1,13,0,128,0.8,178,8,12,2400,1080,6144,16.33,7.6,33
81498,9,4000,12,2.9,1,10,1,256,0.79,171,8,12,2400,1080,8192,15.69,7.22,22
74358,7,4500,48,2.89,1,16,1,256,0.86,192,8,12,2400,1080,12288,16.48,7.43,11
71298,6,3240,12,1.9,1,12,1,512,0.73,173,6,12,2532,1170,4096,13.69,7.22,22
35598,5,4500,12,2.3,1,32,0,128,0.84,189,8,12,2400,1080,8192,16.51,7.56,24
71298,7,4080,12.2,2.4,1,8,1,128,0.83,151,8,12,2340,1080,8192,14.76,6.85,25
25398,3,10000,21,2.1,1,16,0,128,1.79,372,8,12,2340,1080,6144,16.23,7.74,27
71400,6,4600,108,2.84,1,20,1,256,0.85,196,8,12,3200,1440,12288,16.74,7.7,13
116990,9,4700,50,3.36,1,12,0,256,0.76,196,8,12,1080,2340,8192,15.78,7.62,11.24
